,league,league_level,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,start_time_interval,GLnum_matches_interval,Totlnum_match_y_m_wd_int,issue
88,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,9:30:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
89,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,0
90,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,8:00:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,6,29,0
91,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,6,29,1
92,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,8:00:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,6,29,0
93,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,6,29,1
94,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,6,29,0
95,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,6,29,0
96,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,5,49,0
97,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,5,49,1
98,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,8,2022-06-04,9:50:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,5,49,1
99,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,5,49,1
100,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,5,49,1
101,New Zealand Provincial Championship Women,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
102,New Zealand Provincial Championship Women,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
103,New Zealand Provincial Championship Women,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
104,New Zealand Provincial Championship U21,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
105,New Zealand Provincial Championship U21,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
106,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,0
107,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
108,New Zealand Provincial Championship,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
109,New Zealand Provincial Championship,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,9,18,1
110,New Zealand Provincial Championship Women,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,4,8,1
111,New Zealand Provincial Championship Women,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,4,8,1
112,New Zealand Provincial Championship,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,4,8,1
113,New Zealand Provincial Championship,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,4,8,1
114,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-26,8:30:00 PM,2021,Jun,4,26,Saturday,night,15,42,36,20:00 - 21:59,1,35,0
115,New Zealand National League,4,New Zealand,Oceania,4,2021-06-25,8:30:00 PM,2021,Jun,4,25,Friday,night,53,42,36,20:00 - 21:59,1,8,0
116,Iceland Mizunodeild KK,3,Iceland,Europe,4,2022-02-06,8:15:00 PM,2022,Feb,1,6,Sunday,night,21,77,50,20:00 - 21:59,1,60,1
117,Portugal I Diviṣo Women,4,Portugal,Europe,5,2022-02-04,9:00:00 PM,2022,Feb,1,4,Friday,night,53,77,50,20:00 - 21:59,1,44,0
118,Iceland Mizunodeild Women,4,Iceland,Europe,6,2021-02-05,8:00:00 PM,2021,Feb,1,5,Friday,night,53,77,50,20:00 - 21:59,2,14,0
119,Iceland Mizunodeild KK,3,Iceland,Europe,6,2021-02-05,8:00:00 PM,2021,Feb,1,5,Friday,night,53,77,50,20:00 - 21:59,2,14,0
120,Portugal I Diviṣo,4,Portugal,Europe,9,2022-02-02,9:00:00 PM,2022,Feb,1,2,Wednesday,night,74,77,50,20:00 - 21:59,2,34,0
121,Portugal I Diviṣo,4,Portugal,Europe,9,2022-02-02,9:00:00 PM,2022,Feb,1,2,Wednesday,night,74,77,50,20:00 - 21:59,2,34,0
122,Iceland Mizunodeild KK,3,Iceland,Europe,5,2021-02-03,8:00:00 PM,2021,Feb,1,3,Wednesday,night,74,77,50,20:00 - 21:59,3,27,0
123,Iceland Mizunodeild KK,3,Iceland,Europe,5,2021-02-03,8:15:00 PM,2021,Feb,1,3,Wednesday,night,74,77,50,20:00 - 21:59,3,27,0
124,Portugal Cup,4,Portugal,Europe,5,2021-02-03,8:00:00 PM,2021,Feb,1,3,Wednesday,night,74,77,50,20:00 - 21:59,3,27,1
