,match_id,venue_id,league,classification,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,2h_interval,GLnum_matches_interval,Totalnum_matches_interval,issue
92,33256590,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,8:00:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,7,29,0
93,33256560,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,7,29,1
94,33256545,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,7,29,0
95,33256890,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,7,29,0
96,50635575,140387,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,11,49,0
97,50675760,140413,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,11,49,1
98,50630160,140413,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,8,2022-06-04,9:50:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,11,49,1
99,50565750,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,11,49,1
100,50565810,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,8:00:00 PM,2022,Jun,1,4,Saturday,night,15,77,36,20:00 - 21:59,11,49,1
101,50616420,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
102,50756220,140335,New Zealand Provincial Championship Women,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
103,50616435,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
104,50635485,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
105,50635500,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
106,50630070,140387,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,0
107,50675730,140387,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
108,50565600,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,9,2022-06-03,8:00:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
109,50565615,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,9,2022-06-03,9:50:00 PM,2022,Jun,1,3,Friday,night,53,77,36,20:00 - 21:59,11,18,1
110,33174870,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,5,8,1
111,33175080,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,5,8,1
112,33171090,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,5,8,1
113,33169875,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,7,2021-06-04,8:30:00 PM,2021,Jun,1,4,Friday,night,53,77,36,20:00 - 21:59,5,8,1
114,33752745,140322,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-26,8:30:00 PM,2021,Jun,4,26,Saturday,night,15,42,36,20:00 - 21:59,1,35,0
115,33751545,140322,New Zealand National League,4,New Zealand,Oceania,4,2021-06-25,8:30:00 PM,2021,Jun,4,25,Friday,night,53,42,36,20:00 - 21:59,5,8,0
116,38406405,128778,Iceland Mizunodeild KK,3,Iceland,Europe,4,2022-02-06,8:15:00 PM,2022,Feb,1,6,Sunday,night,21,77,50,20:00 - 21:59,2,60,1
117,44156415,130663,Portugal I Divisão Women,4,Portugal,Europe,5,2022-02-04,9:00:00 PM,2022,Feb,1,4,Friday,night,53,77,50,20:00 - 21:59,19,44,0
118,27212535,128804,Iceland Mizunodeild Women,4,Iceland,Europe,6,2021-02-05,8:00:00 PM,2021,Feb,1,5,Friday,night,53,77,50,20:00 - 21:59,6,14,0
119,26556210,128778,Iceland Mizunodeild KK,3,Iceland,Europe,6,2021-02-05,8:00:00 PM,2021,Feb,1,5,Friday,night,53,77,50,20:00 - 21:59,6,14,0
